emoji_id,emoji_name,asset_path,animation_path,has_static_asset,has_animation_asset,category
🔥,火,assets/qq_emoji/🔥/png/🔥.png,,Yes,No,qqnt
🔫,手枪,assets/qq_emoji/🔫/png/🔫.png,,Yes,No,qqnt
😁,呲牙,assets/qq_emoji/😁/png/😁.png,,Yes,No,qqnt
😂,激动,assets/qq_emoji/😂/png/😂.png,,Yes,No,qqnt
😄,高兴,assets/qq_emoji/😄/png/😄.png,,Yes,No,qqnt
😉,媚眼,,,No,No,qqnt
😊,嘿嘿,assets/qq_emoji/😊/png/😊.png,,Yes,No,qqnt
😌,羞涩,assets/qq_emoji/😌/png/😌.png,,Yes,No,qqnt
😍,花痴,assets/qq_emoji/😍/png/😍.png,,Yes,No,qqnt
😏,哼哼,assets/qq_emoji/😏/png/😏.png,,Yes,No,qqnt
😒,不屑,assets/qq_emoji/😒/png/😒.png,,Yes,No,qqnt
😓,汗,assets/qq_emoji/😓/png/😓.png,,Yes,No,qqnt
😔,失落,assets/qq_emoji/😔/png/😔.png,,Yes,No,qqnt
😘,飞吻,assets/qq_emoji/😘/png/😘.png,,Yes,No,qqnt
😚,亲亲,assets/qq_emoji/😚/png/😚.png,,Yes,No,qqnt
😜,淘气,assets/qq_emoji/😜/png/😜.png,,Yes,No,qqnt
😝,吐舌,assets/qq_emoji/😝/png/😝.png,,Yes,No,qqnt
😭,大哭,assets/qq_emoji/😭/png/😭.png,,Yes,No,qqnt
😰,紧张,assets/qq_emoji/😰/png/😰.png,,Yes,No,qqnt
😱,害怕,assets/qq_emoji/😱/png/😱.png,,Yes,No,qqnt
😳,瞪眼,assets/qq_emoji/😳/png/😳.png,,Yes,No,qqnt
🙏,合十,assets/qq_emoji/🙏/png/🙏.png,,Yes,No,qqnt
🚀,火箭,,,No,No,qqnt
🚄,列车,,,No,No,qqnt
🚌,公交,,,No,No,qqnt
🚗,汽车,,,No,No,qqnt
🚤,快艇,,,No,No,qqnt
🚥,信号灯,,,No,No,qqnt
🚧,路障,,,No,No,qqnt
🚬,吸烟,assets/qq_emoji/🚬/png/🚬.png,,Yes,No,qqnt
🚲,自行车,,,No,No,qqnt
🚹,男性,,,No,No,qqnt
🚺,女性,,,No,No,qqnt
🚽,马桶,,,No,No,qqnt
🛀,浴缸,,,No,No,qqnt
